id,genre,unique_id
142,Comedy,142%Comedy
143,Drama,143%Drama
143,Action,143%Action
143,Fantasy,143%Fantasy
143,Romance,143%Romance
144,Fantasy,144%Fantasy
144,Romance,144%Romance
144,Drama,144%Drama
145,Children,145%Children
145,Romance,145%Romance
145,Comedy,145%Comedy
145,Drama,145%Drama
146,Drama,146%Drama
146,Fantasy,146%Fantasy
146,Romance,146%Romance
146,Comedy,146%Comedy
146,Sci-Fi,146%Sci-Fi
147,Romance,147%Romance
147,Drama,147%Drama
148,Romance,148%Romance
148,Drama,148%Drama
149,Mystery,149%Mystery
149,Fantasy,149%Fantasy
149,Drama,149%Drama
149,Action,149%Action
149,Romance,149%Romance
150,Action,150%Action
150,Drama,150%Drama
150,Fantasy,150%Fantasy
150,Horror,150%Horror
150,Mystery,150%Mystery
151,Romance,151%Romance
151,Comedy,151%Comedy
151,Drama,151%Drama
151,Action,151%Action
151,Sci-Fi,151%Sci-Fi
152,Action,152%Action
152,Sci-Fi,152%Sci-Fi
153,Fantasy,153%Fantasy
153,Action,153%Action
153,Adventure,153%Adventure
154,Action,154%Action
154,Adventure,154%Adventure
154,Comedy,154%Comedy
154,Fantasy,154%Fantasy
155,Horror,155%Horror
155,Fantasy,155%Fantasy
155,Action,155%Action
155,Drama,155%Drama
155,Sci-Fi,155%Sci-Fi
156,Fantasy,156%Fantasy
156,Drama,156%Drama
156,Action,156%Action
156,Romance,156%Romance
157,Action,157%Action
157,Romance,157%Romance
157,Fantasy,157%Fantasy
157,Comedy,157%Comedy
157,Children,157%Children
158,Romance,158%Romance
158,Drama,158%Drama
159,Sci-Fi,159%Sci-Fi
159,Action,159%Action
159,Fantasy,159%Fantasy
159,Thriller,159%Thriller
159,Horror,159%Horror
159,Adventure,159%Adventure
160,Adventure,160%Adventure
160,Action,160%Action
160,Fantasy,160%Fantasy
160,Drama,160%Drama
160,Sci-Fi,160%Sci-Fi
161,Historical,161%Historical
161,Comedy,161%Comedy
161,Action,161%Action
162,Action,162%Action
162,Children,162%Children
162,Romance,162%Romance
162,Comedy,162%Comedy
162,Fantasy,162%Fantasy
163,Action,163%Action
163,Fantasy,163%Fantasy
163,Comedy,163%Comedy
163,Adventure,163%Adventure
163,Historical,163%Historical
164,Fantasy,164%Fantasy
164,Adventure,164%Adventure
164,Action,164%Action
165,Mystery,165%Mystery
165,Action,165%Action
165,Romance,165%Romance
165,Musical,165%Musical
165,Sci-Fi,165%Sci-Fi
165,Drama,165%Drama
165,Thriller,165%Thriller
166,Historical,166%Historical
166,Action,166%Action
166,Sci-Fi,166%Sci-Fi
167,Fantasy,167%Fantasy
167,Action,167%Action
167,Adventure,167%Adventure
167,Drama,167%Drama
167,Sci-Fi,167%Sci-Fi
167,Comedy,167%Comedy
168,Action,168%Action
168,Sci-Fi,168%Sci-Fi
168,Adventure,168%Adventure
168,Drama,168%Drama
169,Mystery,169%Mystery
169,Action,169%Action
169,Fantasy,169%Fantasy
169,Horror,169%Horror
169,Romance,169%Romance
170,Action,170%Action
170,Comedy,170%Comedy
170,Children,170%Children
170,Drama,170%Drama
171,Drama,171%Drama
171,Adventure,171%Adventure
171,Fantasy,171%Fantasy
173,Fantasy,173%Fantasy
173,Drama,173%Drama
173,Comedy,173%Comedy
173,Mystery,173%Mystery
173,Historical,173%Historical
173,Action,173%Action
174,Comedy,174%Comedy
174,Action,174%Action
174,Children,174%Children
174,Romance,174%Romance
175,Action,175%Action
175,Romance,175%Romance
175,Sci-Fi,175%Sci-Fi
175,Adventure,175%Adventure
176,Romance,176%Romance
176,Adventure,176%Adventure
177,Fantasy,177%Fantasy
177,Romance,177%Romance
177,Action,177%Action
177,Adventure,177%Adventure
178,Drama,178%Drama
178,Romance,178%Romance
178,Children,178%Children
178,Comedy,178%Comedy
178,Fantasy,178%Fantasy
179,Comedy,179%Comedy
179,Romance,179%Romance
179,Fantasy,179%Fantasy
179,Children,179%Children
180,Romance,180%Romance
180,Action,180%Action
180,Sci-Fi,180%Sci-Fi
181,Sci-Fi,181%Sci-Fi
181,Action,181%Action
181,Romance,181%Romance
182,Adventure,182%Adventure
182,Fantasy,182%Fantasy
182,Action,182%Action
182,Thriller,182%Thriller
182,Romance,182%Romance
183,Children,183%Children
183,Action,183%Action
184,Sci-Fi,184%Sci-Fi
184,Action,184%Action
185,Drama,185%Drama
185,Action,185%Action
185,Children,185%Children
186,Action,186%Action
186,Drama,186%Drama
186,Children,186%Children
187,Action,187%Action
187,Romance,187%Romance
187,Children,187%Children
187,Drama,187%Drama
189,Romance,189%Romance
189,Comedy,189%Comedy
189,Action,189%Action
190,Action,190%Action
190,Romance,190%Romance
190,Drama,190%Drama
190,Comedy,190%Comedy
191,Romance,191%Romance
191,Comedy,191%Comedy
192,Romance,192%Romance
192,Comedy,192%Comedy
192,Adventure,192%Adventure
193,Fantasy,193%Fantasy
193,Drama,193%Drama
193,Romance,193%Romance
193,Comedy,193%Comedy
193,Children,193%Children
194,Action,194%Action
194,Adventure,194%Adventure
194,Sci-Fi,194%Sci-Fi
195,Children,195%Children
195,Sci-Fi,195%Sci-Fi
195,Romance,195%Romance
195,Comedy,195%Comedy
195,Drama,195%Drama
196,Drama,196%Drama
196,Comedy,196%Comedy
196,Romance,196%Romance
196,Children,196%Children
196,Sci-Fi,196%Sci-Fi
197,Romance,197%Romance
197,Children,197%Children
197,Comedy,197%Comedy
197,Sci-Fi,197%Sci-Fi
198,Action,198%Action
198,Mystery,198%Mystery
199,Fantasy,199%Fantasy
199,Adventure,199%Adventure
199,Drama,199%Drama
200,Comedy,200%Comedy
200,Action,200%Action
200,Romance,200%Romance
200,Fantasy,200%Fantasy
201,Romance,201%Romance
201,Drama,201%Drama
201,Comedy,201%Comedy
202,Action,202%Action
202,Drama,202%Drama
202,Adventure,202%Adventure
202,Mystery,202%Mystery
202,Fantasy,202%Fantasy
202,Sci-Fi,202%Sci-Fi
204,Action,204%Action
204,Romance,204%Romance
204,Comedy,204%Comedy
205,Historical,205%Historical
205,Action,205%Action
205,Comedy,205%Comedy
205,Adventure,205%Adventure
206,Fantasy,206%Fantasy
206,Action,206%Action
206,Drama,206%Drama
206,Adventure,206%Adventure
206,Romance,206%Romance
207,Action,207%Action
207,Fantasy,207%Fantasy
207,Adventure,207%Adventure
208,Sci-Fi,208%Sci-Fi
208,Mystery,208%Mystery
208,Historical,208%Historical
208,Fantasy,208%Fantasy
208,Action,208%Action
208,Adventure,208%Adventure
209,Action,209%Action
209,Drama,209%Drama
209,Sci-Fi,209%Sci-Fi
209,Comedy,209%Comedy
209,Adventure,209%Adventure
210,Fantasy,210%Fantasy
210,Romance,210%Romance
210,Action,210%Action
210,Comedy,210%Comedy
212,Adventure,212%Adventure
212,Action,212%Action
212,Comedy,212%Comedy
212,Sci-Fi,212%Sci-Fi
